feature_name,permutation_feature_importance
ram,2.2532
n_cores,0.016133333333333378
px_height,0.015066666666666718
int_memory,0.013200000000000055
sc_w,0.007866666666666711
pc,0.0060000000000000496
clock_speed,0.004800000000000049
wifi,0.0018666666666667276
dual_sim,0.0005333333333333634
touch_screen,0.00040000000000004474
m_dep,0.0002666666666666817
blue,0.00013333333333336305
three_g,0.00013333333333336305
four_g,-0.0002666666666666373
talk_time,-0.007733333333333281
fc,-0.010933333333333262
battery_power,-0.06146666666666663
