feature_name,shap_feature_importance
ram,0.0850400039802107
px_height,0.01035278661789751
battery_power,0.009524588111416394
three_g,0.0061786089322556055
fc,0.004045269022278017
dual_sim,0.003901593163282436
n_cores,0.0031400386398043535
blue,0.002944160610389978
four_g,0.002882532835399137
talk_time,0.002599259543278151
int_memory,0.002548084120868219
touch_screen,0.0023398499707007747
clock_speed,0.002299473562256359
pc,0.0020895735928775274
m_dep,0.0018987082185507006
sc_w,0.0017018557065045764
wifi,0.0008638620005809437
