feature_name,shap_feature_importance
ram,0.2092179264620391
battery_power,0.04319572335612359
px_height,0.03262696115976309
int_memory,0.01682498911712984
clock_speed,0.011606058735144458
sc_w,0.008620043439461959
talk_time,0.00851904657234408
fc,0.008516768415883533
m_dep,0.008192661764503811
pc,0.008045697239548377
n_cores,0.0070132446381084
four_g,0.0037409017119702
touch_screen,0.0034172848943825724
dual_sim,0.0032195568651641614
blue,0.0031845989128391973
three_g,0.0031644765659815115
wifi,0.002615048849835618
