feature_name,shap_feature_importance
ram,1.256693496306147
int_memory,0.4726990320408457
battery_power,0.21783869915662582
talk_time,0.13652826029845835
pc,0.11681819486593929
px_height,0.06762113199565487
sc_w,0.05008624060235512
fc,0.031782080939732504
n_cores,0.023677458030533425
clock_speed,0.0031226602273510084
dual_sim,0.0009216255847787879
touch_screen,0.0008955192909889287
four_g,0.0007592087376504268
wifi,0.0007176849721206916
three_g,0.0007105928785082084
blue,0.0006516031243318691
m_dep,0.00039187418126630563
