feature_name,shap_feature_importance
Contacts_Count_12_mon,0.013433378562487414
Months_Inactive_12_mon,0.011273831777511603
Total_Relationship_Count,0.00429500217111038
Total_Trans_Amt,0.004055502798415077
Dependent_count,0.0036537534072494248
Marital_Status_Married,0.0033423182815622995
Income_Category_Unknown,0.0031002734524382797
Gender_M,0.0029781341156058638
Avg_Utilization_Ratio,0.0022312311884129647
Education_Level_Unknown,0.0021794069799346135
Income_Category_$60K - $80K,0.0018092560383336348
Marital_Status_Unknown,0.0016902369973120553
Education_Level_Uneducated,0.0015439047214942621
Education_Level_Post-Graduate,0.001463104946860813
Education_Level_High School,0.0014611654953071616
Education_Level_Graduate,0.0013453274444358743
Marital_Status_Single,0.0012562028706505851
Education_Level_Doctorate,0.0010123093670793555
Income_Category_$40K - $60K,0.0008351223321502104
Income_Category_$80K - $120K,0.000459687465594461
Card_Category_Gold,0.00028966883888008284
Card_Category_Silver,0.00022430546098550414
Card_Category_Platinum,0.0001887748572195972
