number of features,accuracy,mutual_info
0,0.859,0.029
1,0.859,0.029
2,0.859,0.029
3,0.859,0.058
4,0.859,0.058
5,0.859,0.078
6,0.859,0.092
7,0.859,0.12
8,0.859,0.12
9,0.859,0.143
10,0.859,0.143
11,0.859,0.168
12,0.859,0.168
13,0.864,0.179
14,0.864,0.179
