number of features,accuracy,mutual_info
0,0.87,0.055
1,0.87,0.055
2,0.87,0.076
3,0.87,0.079
4,0.87,0.098
5,0.87,0.112
6,0.87,0.112
7,0.87,0.118
8,0.872,0.126
9,0.872,0.143
10,0.872,0.143
11,0.872,0.143
12,0.872,0.146
13,0.872,0.146
14,0.872,0.146
