number of features,accuracy,mutual_info
0,0.87,0.026
1,0.87,0.035
2,0.87,0.048
3,0.87,0.048
4,0.87,0.054
5,0.87,0.054
6,0.87,0.056
7,0.87,0.095
8,0.87,0.11
9,0.87,0.11
10,0.87,0.11
11,0.87,0.118
12,0.87,0.148
13,0.87,0.148
14,0.87,0.151
