number of features,accuracy,mutual_info
0,0.87,0.04
1,0.87,0.04
2,0.87,0.08
3,0.87,0.08
4,0.87,0.156
5,0.87,0.184
6,0.87,0.184
7,0.87,0.184
8,0.87,0.184
9,0.87,0.185
10,0.87,0.185
11,0.87,0.185
12,0.87,0.185
13,0.87,0.185
14,0.87,0.203
