features,VIF
gender,1.0217100465383848
age,2.183061502433366
hypertension,1.1165046238526757
heart_disease,1.1145169786572011
ever_married,1.8900555477427314
work_type,1.269878256699803
Residence_type,1.0029156059198445
avg_glucose_level,1.1080797401065705
bmi,1.2075108029290975
smoking_status,1.1516251102460457
