number of features,accuracy,mutual_info
0,0.788,0.206
1,0.818,0.387
2,0.867,0.477
3,0.892,0.528
4,0.914,0.536
5,0.918,0.562
6,0.918,0.606
7,0.918,0.668
8,0.918,0.729
9,0.918,0.734
10,0.918,0.788
11,0.918,0.829
12,0.92,0.863
13,0.92,0.901
14,0.923,0.953
