feature_name,permutation_feature_importance
Age,-1
Flight Distance,-1
Inflight wifi service,-1
Departure/Arrival time convenient,-1
Ease of Online booking,-1
Gate location,-1
Food and drink,-1
Online boarding,-1
Seat comfort,-1
Inflight entertainment,-1
On-board service,-1
Leg room service,-1
Baggage handling,-1
Checkin service,-1
Inflight service,-1
Cleanliness,-1
