number of features,accuracy,mutual_info
0,0.818,0.176
1,0.855,0.392
2,0.898,0.512
3,0.938,0.722
4,0.945,0.886
5,0.945,0.956
6,0.947,0.956
7,0.955,1.001
8,0.955,1.077
9,0.955,1.101
10,0.955,1.242
11,0.955,1.242
12,0.955,1.308
13,0.955,1.433
14,0.959,1.441
