feature_name,mutual_info_score
mean_value_of_short_term_variability,0.19559920683534515
abnormal_short_term_variability,0.1931925967826662
percentage_of_time_with_abnormal_long_term_variability,0.16465711122704918
histogram_mode,0.16242139349952867
accelerations,0.132946770654224
histogram_variance,0.12840226109347874
baseline value,0.12552345657474007
prolongued_decelerations,0.09894392203220814
mean_value_of_long_term_variability,0.08703915452295763
uterine_contractions,0.054828776101409904
light_decelerations,0.050471211713911
fetal_movement,0.04522442039837271
histogram_tendency,0.009717661013768142
severe_decelerations,0.00884552007179673
histogram_number_of_peaks,0.0012773589116945594
histogram_number_of_zeroes,0.0
