feature_name,model_feature_importance
baseline value,-1
accelerations,-1
fetal_movement,-1
uterine_contractions,-1
light_decelerations,-1
severe_decelerations,-1
prolongued_decelerations,-1
abnormal_short_term_variability,-1
mean_value_of_short_term_variability,-1
percentage_of_time_with_abnormal_long_term_variability,-1
mean_value_of_long_term_variability,-1
histogram_number_of_peaks,-1
histogram_number_of_zeroes,-1
histogram_mode,-1
histogram_variance,-1
histogram_tendency,-1
