feature_name,dfx_feature_importance
prolongued_decelerations,0.009406001533117473
abnormal_short_term_variability,0.0062988846759801835
mean_value_of_long_term_variability,0.006205865134839333
percentage_of_time_with_abnormal_long_term_variability,0.004351936160967012
accelerations,0.0037700725165833596
fetal_movement,0.0037143975148012836
uterine_contractions,0.003562407367650911
histogram_mode,0.0035097990860674445
severe_decelerations,0.0028051033988894416
histogram_variance,0.0027636786952411367
baseline value,0.0018832186479352919
histogram_number_of_peaks,0.0017810279325791419
light_decelerations,0.0016956563557655885
histogram_number_of_zeroes,0.001625418175366452
mean_value_of_short_term_variability,0.0010024629886855234
histogram_tendency,0.0008720575548127987
