feature_name,shap_feature_importance
mean_value_of_short_term_variability,0.051812691596409485
abnormal_short_term_variability,0.049857660089787315
percentage_of_time_with_abnormal_long_term_variability,0.03943203453780602
accelerations,0.0348138267241347
histogram_mode,0.03170018035450887
prolongued_decelerations,0.024548312201192444
baseline value,0.021559043004968068
uterine_contractions,0.014522871363489235
mean_value_of_long_term_variability,0.013859167813068389
histogram_variance,0.011046923694428492
fetal_movement,0.007458838750762643
histogram_number_of_peaks,0.0067030885696412815
light_decelerations,0.0037636299132197816
histogram_tendency,0.0033087173253186384
histogram_number_of_zeroes,0.0012448266757813704
severe_decelerations,0.00020352933138173342
