feature_name,shap_feature_importance
accelerations,0.021667052412114616
abnormal_short_term_variability,0.013980362776187751
percentage_of_time_with_abnormal_long_term_variability,0.010801848721418282
baseline value,0.009926930012084993
histogram_mode,0.008354050941930478
histogram_tendency,0.006135770180680254
light_decelerations,0.004304711488826869
uterine_contractions,0.0034283934717920283
prolongued_decelerations,0.0031315456154585577
mean_value_of_long_term_variability,0.0029918952620542755
histogram_variance,0.002516263187455081
histogram_number_of_peaks,0.0023995751861639407
mean_value_of_short_term_variability,0.0023069105210226544
fetal_movement,0.0013075979588754783
histogram_number_of_zeroes,0.001252956337365502
severe_decelerations,0.000504379911879456
