feature_name,dfx_feature_importance
accelerations,0.011523622938837397
abnormal_short_term_variability,0.011306646531263878
prolongued_decelerations,0.01118577179156738
percentage_of_time_with_abnormal_long_term_variability,0.01076699505982187
mean_value_of_short_term_variability,0.009274272006918846
histogram_mode,0.0069409238092565115
histogram_variance,0.0053046328852202965
baseline value,0.0027344521083531802
mean_value_of_long_term_variability,0.0020464812472590337
histogram_number_of_zeroes,0.0012364429711241968
fetal_movement,0.0011880956287966251
severe_decelerations,0.0010933356824323855
uterine_contractions,0.0008203926932238835
light_decelerations,0.000715866262098361
histogram_number_of_peaks,0.00033954301451595445
histogram_tendency,0.00030175222579700335
