number of features,accuracy,mutual_info
0,0.842,0.21
1,0.842,0.392
2,0.891,0.56
3,0.898,0.698
4,0.942,0.869
5,0.949,0.966
6,0.953,1.093
7,0.953,1.122
8,0.953,1.217
9,0.953,1.348
10,0.953,1.399
11,0.955,1.418
12,0.955,1.46
13,0.955,1.476
14,0.955,1.495
