number of features,accuracy,mutual_info
0,0.776,0.088
1,0.814,0.325
2,0.857,0.462
3,0.865,0.602
4,0.865,0.754
5,0.865,0.774
6,0.865,0.848
7,0.891,1.038
8,0.895,1.081
9,0.895,1.119
10,0.895,1.137
11,0.895,1.318
12,0.895,1.325
13,0.895,1.365
14,0.895,1.438
