number of features,accuracy,mutual_info
0,0.652,0.063
1,0.758,0.229
2,0.806,0.238
3,0.81,0.254
4,0.811,0.29
5,0.868,0.5
6,0.882,0.542
7,0.903,0.556
8,0.906,0.636
9,0.91,0.68
10,0.912,0.727
11,0.92,0.817
12,0.92,0.866
13,0.92,0.918
14,0.921,0.982
